
file_name = data/tgt/osdb, algo_type = 0, align_type = 1, bs = 16384, align = 32768, org size = 10085684, cmp size = 10079232, cmp_ratio = 0.99936, pad_size = 3157680, pad_ratio = 0.31329
file_name = data/tgt/osdb, algo_type = 0, align_type = 1, bs = 16384, align = 65536, org size = 10085684, cmp size = 8060928, cmp_ratio = 0.79924, pad_size = 1139376, pad_ratio = 0.14135
file_name = data/tgt/osdb, algo_type = 0, align_type = 1, bs = 16384, align = 131072, org size = 10085684, cmp size = 7331840, cmp_ratio = 0.72696, pad_size = 410288, pad_ratio = 0.05596
file_name = data/tgt/osdb, algo_type = 0, align_type = 1, bs = 32768, align = 32768, org size = 10085684, cmp size = 10076160, cmp_ratio = 0.99906, pad_size = 4083936, pad_ratio = 0.40531
file_name = data/tgt/osdb, algo_type = 0, align_type = 1, bs = 32768, align = 65536, org size = 10085684, cmp size = 6720512, cmp_ratio = 0.66634, pad_size = 728288, pad_ratio = 0.10837
file_name = data/tgt/osdb, algo_type = 0, align_type = 1, bs = 32768, align = 131072, org size = 10085684, cmp size = 6720512, cmp_ratio = 0.66634, pad_size = 728288, pad_ratio = 0.10837
file_name = data/tgt/osdb, algo_type = 1, align_type = 1, bs = 4096, align = 32768, org size = 10085684, cmp size = 8068608, cmp_ratio = 0.80001, pad_size = 917776, pad_ratio = 0.11375
file_name = data/tgt/osdb, algo_type = 1, align_type = 1, bs = 4096, align = 65536, org size = 10085684, cmp size = 7684608, cmp_ratio = 0.76193, pad_size = 533776, pad_ratio = 0.06946
file_name = data/tgt/osdb, algo_type = 1, align_type = 1, bs = 4096, align = 131072, org size = 10085684, cmp size = 7683584, cmp_ratio = 0.76183, pad_size = 532752, pad_ratio = 0.06934
file_name = data/tgt/osdb, algo_type = 1, align_type = 1, bs = 8192, align = 32768, org size = 10085684, cmp size = 7838720, cmp_ratio = 0.77721, pad_size = 1418279, pad_ratio = 0.18093
